incident_num,shooting_date,district,shooting_type_v2,victim_gender,victim_race,victim_ethnicity_NIBRS,multi_victim
I152037866-00,2015-05-08 11:44:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152037218-00,2015-05-07 04:00:00+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152037334-00,2015-05-07 13:31:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152038963-00,2015-05-12 18:39:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152039988-00,2015-05-15 23:47:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152040876-00,2015-05-18 21:21:00+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152041419-00,2015-05-20 11:09:35+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152041784-00,2015-05-21 17:56:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152041857-00,2015-05-21 21:00:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I152042211-00,2015-05-23 00:50:09+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152042681-00,2015-05-24 16:16:27+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152042637-00,2015-05-24 16:16:30+00,C11,Non-Fatal,Male,White,Hispanic or Latinx,t
I152042638-00,2015-05-24 16:23:11+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152042765-00,2015-05-25 01:15:36+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,f
I152043193-00,2015-05-26 13:33:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152044761-00,2015-05-30 19:22:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152044549-00,2015-05-30 02:48:00+00,A1,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152044413-00,2015-05-29 18:00:00+00,A7,Non-Fatal,Female,White,Hispanic or Latinx,f
I152045258,2015-06-01 14:42:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152047934,2015-06-10 05:06:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152048250,2015-06-10 23:44:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152048254,2015-06-10 23:44:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152048199,2015-06-10 19:53:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152048592,2015-06-12 04:13:42+00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152048902,2015-06-13 00:42:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152049143,2015-06-13 20:40:00+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,f
I152050036,2015-06-16 20:41:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152050036,2015-06-16 20:41:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152050036,2015-06-16 20:41:00+00,B2,Non-Fatal,Male,Asian,Not Hispanic or Latinx,t
I152050961,2015-06-19 21:20:00+00,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f
I152051161,2015-06-20 16:00:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152052391,2015-06-24 19:44:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152052766,2015-06-26 02:08:00+00,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f
I152052674,2015-06-25 18:28:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152053353,2015-06-27 23:41:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152053302,2015-06-27 19:38:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152053337,2015-06-27 22:59:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152054324,2015-07-01 14:30:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152054787,2015-07-02 23:08:00+00,B2,Fatal,Male,Black or African American,Hispanic or Latinx,t
I152054787,2015-07-02 23:08:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152054740,2015-07-02 18:23:00+00,B3,Non-Fatal,Male,Black or African American,Hispanic or Latinx,t
I152054740,2015-07-02 18:23:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152055092,2015-07-04 01:36:00+00,C11,Non-Fatal,Male,White,Hispanic or Latinx,t
I152055092,2015-07-04 01:36:00+00,C11,Non-Fatal,Male,White,Hispanic or Latinx,t
I152055102,2015-07-04 02:19:00+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,t
I152055311,2015-07-04 22:47:00+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152055311,2015-07-04 22:47:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152055319,2015-07-05 00:40:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
